id,lexeme,infinitive,pronoun,form,translation
de:sein:praes.1sg:produce,sein,sein,ich,bin,быть
de:sein:praes.2sg:produce,sein,sein,du,bist,быть
de:sein:praes.3sg:produce,sein,sein,er,ist,быть
de:haben:praes.1sg:produce,haben,haben,ich,habe,иметь
de:haben:praes.2sg:produce,haben,haben,du,hast,иметь
de:haben:praes.3sg:produce,haben,haben,er,hat,иметь
de:werden:praes.2sg:produce,werden,werden,du,wirst,становиться
de:werden:praes.3sg:produce,werden,werden,er,wird,становиться
de:fahren:praes.2sg:produce,fahren,fahren,du,fährst,ехать
de:fahren:praes.3sg:produce,fahren,fahren,er,fährt,ехать
de:lesen:praes.2sg:produce,lesen,lesen,du,liest,читать
de:sprechen:praes.2sg:produce,sprechen,sprechen,du,sprichst,говорить
de:sprechen:praes.3sg:produce,sprechen,sprechen,er,spricht,говорить
de:nehmen:praes.2sg:produce,nehmen,nehmen,du,nimmst,брать
de:nehmen:praes.3sg:produce,nehmen,nehmen,er,nimmt,брать
de:geben:praes.2sg:produce,geben,geben,du,gibst,давать
de:geben:praes.3sg:produce,geben,geben,er,gibt,давать
de:sehen:praes.2sg:produce,sehen,sehen,du,siehst,смотреть
de:sehen:praes.3sg:produce,sehen,sehen,er,sieht,смотреть
de:essen:praes.2sg:produce,essen,essen,du,isst,кушать
de:laufen:praes.2sg:produce,laufen,laufen,du,läufst,бегать
de:laufen:praes.3sg:produce,laufen,laufen,er,läuft,бегать
de:schlafen:praes.2sg:produce,schlafen,schlafen,du,schläfst,спать
de:schlafen:praes.3sg:produce,schlafen,schlafen,er,schläft,спать
de:abfahren:praes.1sg:produce,abfahren,abfahren,ich,fahre ab,отъезжать
de:abfahren:praes.2sg:produce,abfahren,abfahren,du,fährst ab,отъезжать
de:abfahren:praes.3sg:produce,abfahren,abfahren,er,fährt ab,отъезжать
de:abfahren:praes.1pl:produce,abfahren,abfahren,wir,fahren ab,отъезжать
de:abfahren:praes.2pl:produce,abfahren,abfahren,ihr,fahrt ab,отъезжать
de:abfliegen:praes.1sg:produce,abfliegen,abfliegen,ich,fliege ab,отлетать
de:abfliegen:praes.2sg:produce,abfliegen,abfliegen,du,fliegst ab,отлетать
de:abfliegen:praes.3sg:produce,abfliegen,abfliegen,er,fliegt ab,отлетать
de:abfliegen:praes.1pl:produce,abfliegen,abfliegen,wir,fliegen ab,отлетать
de:abfliegen:praes.2pl:produce,abfliegen,abfliegen,ihr,fliegt ab,отлетать
de:abgeben:praes.1sg:produce,abgeben,abgeben,ich,gebe ab,отдавать
de:abgeben:praes.2sg:produce,abgeben,abgeben,du,gibst ab,отдавать
de:abgeben:praes.3sg:produce,abgeben,abgeben,er,gibt ab,отдавать
de:abgeben:praes.1pl:produce,abgeben,abgeben,wir,geben ab,отдавать
de:abgeben:praes.2pl:produce,abgeben,abgeben,ihr,gebt ab,отдавать
de:abholen:praes.1sg:produce,abholen,abholen,ich,hole ab,забирать
de:abholen:praes.2sg:produce,abholen,abholen,du,holst ab,забирать
de:abholen:praes.3sg:produce,abholen,abholen,er,holt ab,забирать
de:abholen:praes.1pl:produce,abholen,abholen,wir,holen ab,забирать
de:abholen:praes.2pl:produce,abholen,abholen,ihr,holt ab,забирать
de:anbieten:praes.1sg:produce,anbieten,anbieten,ich,biete an,предлагать
de:anbieten:praes.2sg:produce,anbieten,anbieten,du,bietest an,предлагать
de:anbieten:praes.3sg:produce,anbieten,anbieten,er,bietet an,предлагать
de:anbieten:praes.1pl:produce,anbieten,anbieten,wir,bieten an,предлагать
de:anbieten:praes.2pl:produce,anbieten,anbieten,ihr,bietet an,предлагать
de:ankommen:praes.1sg:produce,ankommen,ankommen,ich,komme an,прибывать
de:ankommen:praes.2sg:produce,ankommen,ankommen,du,kommst an,прибывать
de:ankommen:praes.3sg:produce,ankommen,ankommen,er,kommt an,прибывать
de:ankommen:praes.1pl:produce,ankommen,ankommen,wir,kommen an,прибывать
de:ankommen:praes.2pl:produce,ankommen,ankommen,ihr,kommt an,прибывать
de:ankreuzen:praes.1sg:produce,ankreuzen,ankreuzen,ich,kreuze an,отмечать
de:ankreuzen:praes.2sg:produce,ankreuzen,ankreuzen,du,kreuzt an,отмечать
de:ankreuzen:praes.3sg:produce,ankreuzen,ankreuzen,er,kreuzt an,отмечать
de:ankreuzen:praes.1pl:produce,ankreuzen,ankreuzen,wir,kreuzen an,отмечать
de:ankreuzen:praes.2pl:produce,ankreuzen,ankreuzen,ihr,kreuzt an,отмечать
de:anmachen:praes.1sg:produce,anmachen,anmachen,ich,mache an,включать
de:anmachen:praes.2sg:produce,anmachen,anmachen,du,machst an,включать
de:anmachen:praes.3sg:produce,anmachen,anmachen,er,macht an,включать
de:anmachen:praes.1pl:produce,anmachen,anmachen,wir,machen an,включать
de:anmachen:praes.2pl:produce,anmachen,anmachen,ihr,macht an,включать
de:anrufen:praes.1sg:produce,anrufen,anrufen,ich,rufe an,звонить
de:anrufen:praes.2sg:produce,anrufen,anrufen,du,rufst an,звонить
