lexeme,feature,form,source,license
frei,none.nom.sg.m,freier,kaikki-en,CC BY-SA 4.0
frei,komp,freier,kaikki-en,CC BY-SA 4.0
frei,superl,am freiesten,kaikki-en,CC BY-SA 4.0
frei,superl,am freisten,kaikki-en,CC BY-SA 4.0
frei,none.nom.sg.f,freie,kaikki-en,CC BY-SA 4.0
frei,none.nom.sg.n,freies,kaikki-en,CC BY-SA 4.0
frei,none.nom.pl,freie,kaikki-en,CC BY-SA 4.0
frei,none.gen.sg.m,freien,kaikki-en,CC BY-SA 4.0
frei,none.gen.sg.f,freier,kaikki-en,CC BY-SA 4.0
frei,none.gen.sg.n,freien,kaikki-en,CC BY-SA 4.0
frei,none.gen.pl,freier,kaikki-en,CC BY-SA 4.0
frei,none.dat.sg.m,freiem,kaikki-en,CC BY-SA 4.0
frei,none.dat.sg.f,freier,kaikki-en,CC BY-SA 4.0
frei,none.dat.sg.n,freiem,kaikki-en,CC BY-SA 4.0
frei,none.dat.pl,freien,kaikki-en,CC BY-SA 4.0
frei,none.akk.sg.m,freien,kaikki-en,CC BY-SA 4.0
frei,none.akk.sg.f,freie,kaikki-en,CC BY-SA 4.0
frei,none.akk.sg.n,freies,kaikki-en,CC BY-SA 4.0
frei,none.akk.pl,freie,kaikki-en,CC BY-SA 4.0
frei,def.nom.sg.m,der freie,kaikki-en,CC BY-SA 4.0
frei,def.nom.sg.f,die freie,kaikki-en,CC BY-SA 4.0
frei,def.nom.sg.n,das freie,kaikki-en,CC BY-SA 4.0
frei,def.nom.pl,die freien,kaikki-en,CC BY-SA 4.0
frei,def.gen.sg.m,des freien,kaikki-en,CC BY-SA 4.0
frei,def.gen.sg.f,der freien,kaikki-en,CC BY-SA 4.0
frei,def.gen.sg.n,des freien,kaikki-en,CC BY-SA 4.0
frei,def.gen.pl,der freien,kaikki-en,CC BY-SA 4.0
frei,def.dat.sg.m,dem freien,kaikki-en,CC BY-SA 4.0
frei,def.dat.sg.f,der freien,kaikki-en,CC BY-SA 4.0
frei,def.dat.sg.n,dem freien,kaikki-en,CC BY-SA 4.0
frei,def.dat.pl,den freien,kaikki-en,CC BY-SA 4.0
frei,def.akk.sg.m,den freien,kaikki-en,CC BY-SA 4.0
frei,def.akk.sg.f,die freie,kaikki-en,CC BY-SA 4.0
frei,def.akk.sg.n,das freie,kaikki-en,CC BY-SA 4.0
frei,def.akk.pl,die freien,kaikki-en,CC BY-SA 4.0
frei,indef.nom.sg.m,ein freier,kaikki-en,CC BY-SA 4.0
frei,indef.nom.sg.f,eine freie,kaikki-en,CC BY-SA 4.0
frei,indef.nom.sg.n,ein freies,kaikki-en,CC BY-SA 4.0
frei,indef.nom.pl,freien,kaikki-en,CC BY-SA 4.0
frei,indef.nom.pl,keine freien,kaikki-en,CC BY-SA 4.0
frei,indef.gen.sg.m,eines freien,kaikki-en,CC BY-SA 4.0
frei,indef.gen.sg.f,einer freien,kaikki-en,CC BY-SA 4.0
frei,indef.gen.sg.n,eines freien,kaikki-en,CC BY-SA 4.0
frei,indef.gen.pl,freien,kaikki-en,CC BY-SA 4.0
frei,indef.gen.pl,keiner freien,kaikki-en,CC BY-SA 4.0
frei,indef.dat.sg.m,einem freien,kaikki-en,CC BY-SA 4.0
frei,indef.dat.sg.f,einer freien,kaikki-en,CC BY-SA 4.0
frei,indef.dat.sg.n,einem freien,kaikki-en,CC BY-SA 4.0
frei,indef.dat.pl,freien,kaikki-en,CC BY-SA 4.0
frei,indef.dat.pl,keinen freien,kaikki-en,CC BY-SA 4.0
frei,indef.akk.sg.m,einen freien,kaikki-en,CC BY-SA 4.0
frei,indef.akk.sg.f,eine freie,kaikki-en,CC BY-SA 4.0
frei,indef.akk.sg.n,ein freies,kaikki-en,CC BY-SA 4.0
frei,indef.akk.pl,freien,kaikki-en,CC BY-SA 4.0
frei,indef.akk.pl,keine freien,kaikki-en,CC BY-SA 4.0
frei,komp.none.nom.sg.m,freierer,kaikki-en,CC BY-SA 4.0
frei,komp.none.nom.sg.f,freiere,kaikki-en,CC BY-SA 4.0
frei,komp.none.nom.sg.n,freieres,kaikki-en,CC BY-SA 4.0
frei,komp.none.nom.pl,freiere,kaikki-en,CC BY-SA 4.0
frei,komp.none.gen.sg.m,freieren,kaikki-en,CC BY-SA 4.0
frei,komp.none.gen.sg.f,freierer,kaikki-en,CC BY-SA 4.0
frei,komp.none.gen.sg.n,freieren,kaikki-en,CC BY-SA 4.0
frei,komp.none.gen.pl,freierer,kaikki-en,CC BY-SA 4.0
frei,komp.none.dat.sg.m,freierem,kaikki-en,CC BY-SA 4.0
frei,komp.none.dat.sg.f,freierer,kaikki-en,CC BY-SA 4.0
frei,komp.none.dat.sg.n,freierem,kaikki-en,CC BY-SA 4.0
frei,komp.none.dat.pl,freieren,kaikki-en,CC BY-SA 4.0
