lexeme,count,rank,source,license
ab,13359,111,Leipzig deu_news_2024_1M,CC BY 4.0
ab-adj,13359,111,Leipzig deu_news_2024_1M,CC BY 4.0
ab-adv,13359,111,Leipzig deu_news_2024_1M,CC BY 4.0
aber,36840,59,Leipzig deu_news_2024_1M,CC BY 4.0
aber-adv,36840,59,Leipzig deu_news_2024_1M,CC BY 4.0
abfahren,262,627,Leipzig deu_news_2024_1M,CC BY 4.0
abfahrt,239,637,Leipzig deu_news_2024_1M,CC BY 4.0
abfliegen,13,776,Leipzig deu_news_2024_1M,CC BY 4.0
abflug,83,734,Leipzig deu_news_2024_1M,CC BY 4.0
abgeben,1076,417,Leipzig deu_news_2024_1M,CC BY 4.0
abholen,319,606,Leipzig deu_news_2024_1M,CC BY 4.0
absender,48,747,Leipzig deu_news_2024_1M,CC BY 4.0
achtung,131,698,Leipzig deu_news_2024_1M,CC BY 4.0
adresse,238,638,Leipzig deu_news_2024_1M,CC BY 4.0
allein,1849,336,Leipzig deu_news_2024_1M,CC BY 4.0
allein-adv,1849,336,Leipzig deu_news_2024_1M,CC BY 4.0
allein-conj,1849,336,Leipzig deu_news_2024_1M,CC BY 4.0
also,6675,164,Leipzig deu_news_2024_1M,CC BY 4.0
also-adv,6675,164,Leipzig deu_news_2024_1M,CC BY 4.0
alt,8434,142,Leipzig deu_news_2024_1M,CC BY 4.0
alter,2721,276,Leipzig deu_news_2024_1M,CC BY 4.0
an,70833,33,Leipzig deu_news_2024_1M,CC BY 4.0
an-adj,70833,33,Leipzig deu_news_2024_1M,CC BY 4.0
an-adv,70833,33,Leipzig deu_news_2024_1M,CC BY 4.0
anbieten,1794,340,Leipzig deu_news_2024_1M,CC BY 4.0
ander,25022,85,Leipzig deu_news_2024_1M,CC BY 4.0
anfang,4069,228,Leipzig deu_news_2024_1M,CC BY 4.0
anfangen,601,502,Leipzig deu_news_2024_1M,CC BY 4.0
angebot,3383,251,Leipzig deu_news_2024_1M,CC BY 4.0
anklicken,25,763,Leipzig deu_news_2024_1M,CC BY 4.0
ankommen,955,444,Leipzig deu_news_2024_1M,CC BY 4.0
ankreuzen,21,768,Leipzig deu_news_2024_1M,CC BY 4.0
ankunft,283,621,Leipzig deu_news_2024_1M,CC BY 4.0
anmachen,10,780,Leipzig deu_news_2024_1M,CC BY 4.0
anmeldung,386,576,Leipzig deu_news_2024_1M,CC BY 4.0
anrede,18,772,Leipzig deu_news_2024_1M,CC BY 4.0
anruf,347,592,Leipzig deu_news_2024_1M,CC BY 4.0
anrufen,208,652,Leipzig deu_news_2024_1M,CC BY 4.0
ansage,213,649,Leipzig deu_news_2024_1M,CC BY 4.0
anschluss,1081,415,Leipzig deu_news_2024_1M,CC BY 4.0
antwort,1733,347,Leipzig deu_news_2024_1M,CC BY 4.0
antworten,1830,337,Leipzig deu_news_2024_1M,CC BY 4.0
anzeige,759,478,Leipzig deu_news_2024_1M,CC BY 4.0
apartment,49,746,Leipzig deu_news_2024_1M,CC BY 4.0
apfel,158,676,Leipzig deu_news_2024_1M,CC BY 4.0
appetit,58,743,Leipzig deu_news_2024_1M,CC BY 4.0
arbeit,5313,196,Leipzig deu_news_2024_1M,CC BY 4.0
arbeiten,5235,199,Leipzig deu_news_2024_1M,CC BY 4.0
arbeitslos,109,714,Leipzig deu_news_2024_1M,CC BY 4.0
arbeitsplatz,780,471,Leipzig deu_news_2024_1M,CC BY 4.0
arm,804,465,Leipzig deu_news_2024_1M,CC BY 4.0
arzt,1302,387,Leipzig deu_news_2024_1M,CC BY 4.0
auch,83744,29,Leipzig deu_news_2024_1M,CC BY 4.0
auf,124981,19,Leipzig deu_news_2024_1M,CC BY 4.0
auf-adj,124981,19,Leipzig deu_news_2024_1M,CC BY 4.0
auf-adv,124981,19,Leipzig deu_news_2024_1M,CC BY 4.0
aufgabe,2361,300,Leipzig deu_news_2024_1M,CC BY 4.0
aufhoeren,397,573,Leipzig deu_news_2024_1M,CC BY 4.0
aufstehen,138,694,Leipzig deu_news_2024_1M,CC BY 4.0
aufzug,133,697,Leipzig deu_news_2024_1M,CC BY 4.0
auge,1898,329,Leipzig deu_news_2024_1M,CC BY 4.0
aus,58974,37,Leipzig deu_news_2024_1M,CC BY 4.0
aus-adj,58974,37,Leipzig deu_news_2024_1M,CC BY 4.0
aus-prep,58974,37,Leipzig deu_news_2024_1M,CC BY 4.0
ausflug,350,590,Leipzig deu_news_2024_1M,CC BY 4.0
ausfuellen,104,721,Leipzig deu_news_2024_1M,CC BY 4.0
ausgang,298,617,Leipzig deu_news_2024_1M,CC BY 4.0
auskunft,311,608,Leipzig deu_news_2024_1M,CC BY 4.0
auslaender,239,637,Leipzig deu_news_2024_1M,CC BY 4.0
auslaendisch,651,497,Leipzig deu_news_2024_1M,CC BY 4.0
ausland,1048,423,Leipzig deu_news_2024_1M,CC BY 4.0
ausmachen,446,553,Leipzig deu_news_2024_1M,CC BY 4.0
aussage,1675,352,Leipzig deu_news_2024_1M,CC BY 4.0
aussehen,1057,421,Leipzig deu_news_2024_1M,CC BY 4.0
aussteigen,217,647,Leipzig deu_news_2024_1M,CC BY 4.0
ausweis,107,716,Leipzig deu_news_2024_1M,CC BY 4.0
auto,5366,190,Leipzig deu_news_2024_1M,CC BY 4.0
autobahn,1009,431,Leipzig deu_news_2024_1M,CC BY 4.0
automat,159,675,Leipzig deu_news_2024_1M,CC BY 4.0
automatisch,767,475,Leipzig deu_news_2024_1M,CC BY 4.0
baby,459,551,Leipzig deu_news_2024_1M,CC BY 4.0
bad,2190,310,Leipzig deu_news_2024_1M,CC BY 4.0
baden,75,739,Leipzig deu_news_2024_1M,CC BY 4.0
baeckerei,193,660,Leipzig deu_news_2024_1M,CC BY 4.0
bahn,1810,339,Leipzig deu_news_2024_1M,CC BY 4.0
bahnhof,1075,418,Leipzig deu_news_2024_1M,CC BY 4.0
bahnsteig,109,714,Leipzig deu_news_2024_1M,CC BY 4.0
bald,5437,189,Leipzig deu_news_2024_1M,CC BY 4.0
balkon,320,605,Leipzig deu_news_2024_1M,CC BY 4.0
banane,93,730,Leipzig deu_news_2024_1M,CC BY 4.0
bank,2084,319,Leipzig deu_news_2024_1M,CC BY 4.0
bar,115,709,Leipzig deu_news_2024_1M,CC BY 4.0
bar-adv,95,729,Leipzig deu_news_2024_1M,CC BY 4.0
bar-prep,95,729,Leipzig deu_news_2024_1M,CC BY 4.0
bauch,202,657,Leipzig deu_news_2024_1M,CC BY 4.0
baum,1738,346,Leipzig deu_news_2024_1M,CC BY 4.0
beamte,2078,320,Leipzig deu_news_2024_1M,CC BY 4.0
bedeuten,2776,273,Leipzig deu_news_2024_1M,CC BY 4.0
beginnen,5474,188,Leipzig deu_news_2024_1M,CC BY 4.0
bei,61250,34,Leipzig deu_news_2024_1M,CC BY 4.0
beide,11232,122,Leipzig deu_news_2024_1M,CC BY 4.0
bein,704,488,Leipzig deu_news_2024_1M,CC BY 4.0
beispiel,4206,222,Leipzig deu_news_2024_1M,CC BY 4.0
bekannt,4980,208,Leipzig deu_news_2024_1M,CC BY 4.0
bekannt-adj,6993,157,Leipzig deu_news_2024_1M,CC BY 4.0
bekommen,6315,172,Leipzig deu_news_2024_1M,CC BY 4.0
benutzen,466,546,Leipzig deu_news_2024_1M,CC BY 4.0
beruf,703,489,Leipzig deu_news_2024_1M,CC BY 4.0
besetzt,472,540,Leipzig deu_news_2024_1M,CC BY 4.0
besetzt-adj,834,461,Leipzig deu_news_2024_1M,CC BY 4.0
besichtigen,149,683,Leipzig deu_news_2024_1M,CC BY 4.0
besser,4037,234,Leipzig deu_news_2024_1M,CC BY 4.0
besser-adv,4037,234,Leipzig deu_news_2024_1M,CC BY 4.0
besser-verb,4037,234,Leipzig deu_news_2024_1M,CC BY 4.0
bestellen,628,500,Leipzig deu_news_2024_1M,CC BY 4.0
besuchen,1787,341,Leipzig deu_news_2024_1M,CC BY 4.0
bett,424,563,Leipzig deu_news_2024_1M,CC BY 4.0
bezahlen,1345,380,Leipzig deu_news_2024_1M,CC BY 4.0
bier,546,515,Leipzig deu_news_2024_1M,CC BY 4.0
bild,4237,221,Leipzig deu_news_2024_1M,CC BY 4.0
billig,368,586,Leipzig deu_news_2024_1M,CC BY 4.0
birne,36,753,Leipzig deu_news_2024_1M,CC BY 4.0
bis,28714,76,Leipzig deu_news_2024_1M,CC BY 4.0
bis-prep,28714,76,Leipzig deu_news_2024_1M,CC BY 4.0
bisschen,1334,382,Leipzig deu_news_2024_1M,CC BY 4.0
bitte,466,546,Leipzig deu_news_2024_1M,CC BY 4.0
bitte-noun,381,581,Leipzig deu_news_2024_1M,CC BY 4.0
bitte-part,466,546,Leipzig deu_news_2024_1M,CC BY 4.0
bitte-verb,466,546,Leipzig deu_news_2024_1M,CC BY 4.0
bitten,2186,311,Leipzig deu_news_2024_1M,CC BY 4.0
bitter,539,519,Leipzig deu_news_2024_1M,CC BY 4.0
bitter-adv,192,662,Leipzig deu_news_2024_1M,CC BY 4.0
bleiben,12770,113,Leipzig deu_news_2024_1M,CC BY 4.0
bleistift,21,768,Leipzig deu_news_2024_1M,CC BY 4.0
blick,3908,239,Leipzig deu_news_2024_1M,CC BY 4.0
blume,378,582,Leipzig deu_news_2024_1M,CC BY 4.0
boese,304,613,Leipzig deu_news_2024_1M,CC BY 4.0
boese-adv,169,673,Leipzig deu_news_2024_1M,CC BY 4.0
bogen,136,695,Leipzig deu_news_2024_1M,CC BY 4.0
brauchen,5532,187,Leipzig deu_news_2024_1M,CC BY 4.0
breit,1524,362,Leipzig deu_news_2024_1M,CC BY 4.0
brief,740,482,Leipzig deu_news_2024_1M,CC BY 4.0
briefmarke,38,752,Leipzig deu_news_2024_1M,CC BY 4.0
bringen,10567,128,Leipzig deu_news_2024_1M,CC BY 4.0
broetchen,96,727,Leipzig deu_news_2024_1M,CC BY 4.0
brot,258,628,Leipzig deu_news_2024_1M,CC BY 4.0
bruder,1067,419,Leipzig deu_news_2024_1M,CC BY 4.0
buch,2364,299,Leipzig deu_news_2024_1M,CC BY 4.0
buchstabe,121,706,Leipzig deu_news_2024_1M,CC BY 4.0
buchstabieren,3,786,Leipzig deu_news_2024_1M,CC BY 4.0
bus,1151,403,Leipzig deu_news_2024_1M,CC BY 4.0
butter,154,678,Leipzig deu_news_2024_1M,CC BY 4.0
cd,81,735,Leipzig deu_news_2024_1M,CC BY 4.0
chef,1196,400,Leipzig deu_news_2024_1M,CC BY 4.0
computer,321,604,Leipzig deu_news_2024_1M,CC BY 4.0
da,9694,134,Leipzig deu_news_2024_1M,CC BY 4.0
da-conj,9694,134,Leipzig deu_news_2024_1M,CC BY 4.0
dame,542,518,Leipzig deu_news_2024_1M,CC BY 4.0
daneben,217,647,Leipzig deu_news_2024_1M,CC BY 4.0
dank,1189,401,Leipzig deu_news_2024_1M,CC BY 4.0
danke,113,712,Leipzig deu_news_2024_1M,CC BY 4.0
danke-part,113,712,Leipzig deu_news_2024_1M,CC BY 4.0
danken,1658,355,Leipzig deu_news_2024_1M,CC BY 4.0
dann,17510,98,Leipzig deu_news_2024_1M,CC BY 4.0
datum,2490,295,Leipzig deu_news_2024_1M,CC BY 4.0
dauern,2141,315,Leipzig deu_news_2024_1M,CC BY 4.0
dein,406,568,Leipzig deu_news_2024_1M,CC BY 4.0
denn,5025,205,Leipzig deu_news_2024_1M,CC BY 4.0
denn-adv,5025,205,Leipzig deu_news_2024_1M,CC BY 4.0
denn-part,5025,205,Leipzig deu_news_2024_1M,CC BY 4.0
der,449315,2,Leipzig deu_news_2024_1M,CC BY 4.0
der-pron,1374855,1,Leipzig deu_news_2024_1M,CC BY 4.0
dich,1207,398,Leipzig deu_news_2024_1M,CC BY 4.0
dies,3596,248,Leipzig deu_news_2024_1M,CC BY 4.0
dir,1126,407,Leipzig deu_news_2024_1M,CC BY 4.0
disco,73,740,Leipzig deu_news_2024_1M,CC BY 4.0
doktor,52,744,Leipzig deu_news_2024_1M,CC BY 4.0
doppelzimmer,22,766,Leipzig deu_news_2024_1M,CC BY 4.0
dorf,1040,425,Leipzig deu_news_2024_1M,CC BY 4.0
dort,6776,160,Leipzig deu_news_2024_1M,CC BY 4.0
draussen,463,548,Leipzig deu_news_2024_1M,CC BY 4.0
drucken,2121,316,Leipzig deu_news_2024_1M,CC BY 4.0
drucker,30,758,Leipzig deu_news_2024_1M,CC BY 4.0
druecken,752,480,Leipzig deu_news_2024_1M,CC BY 4.0
duerfen,11170,123,Leipzig deu_news_2024_1M,CC BY 4.0
durch,21304,92,Leipzig deu_news_2024_1M,CC BY 4.0
durch-adj,21304,92,Leipzig deu_news_2024_1M,CC BY 4.0
durch-adv,21304,92,Leipzig deu_news_2024_1M,CC BY 4.0
durchsage,35,754,Leipzig deu_news_2024_1M,CC BY 4.0
durst,28,759,Leipzig deu_news_2024_1M,CC BY 4.0
dusche,128,702,Leipzig deu_news_2024_1M,CC BY 4.0
ecke,844,460,Leipzig deu_news_2024_1M,CC BY 4.0
ehefrau,587,506,Leipzig deu_news_2024_1M,CC BY 4.0
ehemann,465,547,Leipzig deu_news_2024_1M,CC BY 4.0
ei,983,440,Leipzig deu_news_2024_1M,CC BY 4.0
eilig,64,741,Leipzig deu_news_2024_1M,CC BY 4.0
ein,100864,24,Leipzig deu_news_2024_1M,CC BY 4.0
ein-adj,100864,24,Leipzig deu_news_2024_1M,CC BY 4.0
ein-adv,100864,24,Leipzig deu_news_2024_1M,CC BY 4.0
ein-part,354345,3,Leipzig deu_news_2024_1M,CC BY 4.0
einfach,6580,167,Leipzig deu_news_2024_1M,CC BY 4.0
einfach-adv,5132,201,Leipzig deu_news_2024_1M,CC BY 4.0
eingang,381,581,Leipzig deu_news_2024_1M,CC BY 4.0
einkaufen,213,649,Leipzig deu_news_2024_1M,CC BY 4.0
einladen,892,455,Leipzig deu_news_2024_1M,CC BY 4.0
einladung,412,565,Leipzig deu_news_2024_1M,CC BY 4.0
einmal,6678,162,Leipzig deu_news_2024_1M,CC BY 4.0
einsteigen,279,623,Leipzig deu_news_2024_1M,CC BY 4.0
eintritt,544,517,Leipzig deu_news_2024_1M,CC BY 4.0
einzelzimmer,8,781,Leipzig deu_news_2024_1M,CC BY 4.0
eltern,2530,294,Leipzig deu_news_2024_1M,CC BY 4.0
empfaenger,127,703,Leipzig deu_news_2024_1M,CC BY 4.0
empfehlen,1244,393,Leipzig deu_news_2024_1M,CC BY 4.0
ende,10391,130,Leipzig deu_news_2024_1M,CC BY 4.0
enden,1641,357,Leipzig deu_news_2024_1M,CC BY 4.0
entschuldigen,311,608,Leipzig deu_news_2024_1M,CC BY 4.0
entschuldigung,129,699,Leipzig deu_news_2024_1M,CC BY 4.0
er,49449,45,Leipzig deu_news_2024_1M,CC BY 4.0
ergebnis,3802,241,Leipzig deu_news_2024_1M,CC BY 4.0
erklaeren,8534,140,Leipzig deu_news_2024_1M,CC BY 4.0
erlauben,1233,396,Leipzig deu_news_2024_1M,CC BY 4.0
erwachsene,806,464,Leipzig deu_news_2024_1M,CC BY 4.0
erzaehlen,2737,274,Leipzig deu_news_2024_1M,CC BY 4.0
es,97579,26,Leipzig deu_news_2024_1M,CC BY 4.0
es-part,97579,26,Leipzig deu_news_2024_1M,CC BY 4.0
essen,698,490,Leipzig deu_news_2024_1M,CC BY 4.0
essen-noun,1416,372,Leipzig deu_news_2024_1M,CC BY 4.0
euer,189,664,Leipzig deu_news_2024_1M,CC BY 4.0
fahren,5317,195,Leipzig deu_news_2024_1M,CC BY 4.0
fahrer,2055,321,Leipzig deu_news_2024_1M,CC BY 4.0
fahrkarte,25,763,Leipzig deu_news_2024_1M,CC BY 4.0
fahrrad,670,493,Leipzig deu_news_2024_1M,CC BY 4.0
falsch,1672,353,Leipzig deu_news_2024_1M,CC BY 4.0
familie,5308,198,Leipzig deu_news_2024_1M,CC BY 4.0
familienname,15,773,Leipzig deu_news_2024_1M,CC BY 4.0
familienstand,7,782,Leipzig deu_news_2024_1M,CC BY 4.0
farbe,1000,432,Leipzig deu_news_2024_1M,CC BY 4.0
fax,24,764,Leipzig deu_news_2024_1M,CC BY 4.0
fehlen,3092,259,Leipzig deu_news_2024_1M,CC BY 4.0
fehler,1448,369,Leipzig deu_news_2024_1M,CC BY 4.0
feier,481,537,Leipzig deu_news_2024_1M,CC BY 4.0
feiern,4098,227,Leipzig deu_news_2024_1M,CC BY 4.0
fenster,673,492,Leipzig deu_news_2024_1M,CC BY 4.0
fernsehen,14,774,Leipzig deu_news_2024_1M,CC BY 4.0
fertig,768,474,Leipzig deu_news_2024_1M,CC BY 4.0
feuer,1364,379,Leipzig deu_news_2024_1M,CC BY 4.0
fieber,104,721,Leipzig deu_news_2024_1M,CC BY 4.0
film,3079,260,Leipzig deu_news_2024_1M,CC BY 4.0
finden,14465,106,Leipzig deu_news_2024_1M,CC BY 4.0
firma,2197,309,Leipzig deu_news_2024_1M,CC BY 4.0
fisch,390,575,Leipzig deu_news_2024_1M,CC BY 4.0
flasche,310,609,Leipzig deu_news_2024_1M,CC BY 4.0
fleisch,413,564,Leipzig deu_news_2024_1M,CC BY 4.0
fliegen,1289,390,Leipzig deu_news_2024_1M,CC BY 4.0
flughafen,1389,375,Leipzig deu_news_2024_1M,CC BY 4.0
flugzeug,781,470,Leipzig deu_news_2024_1M,CC BY 4.0
formular,61,742,Leipzig deu_news_2024_1M,CC BY 4.0
foto,1923,327,Leipzig deu_news_2024_1M,CC BY 4.0
frage,6441,169,Leipzig deu_news_2024_1M,CC BY 4.0
fragen,2546,293,Leipzig deu_news_2024_1M,CC BY 4.0
frau,10150,132,Leipzig deu_news_2024_1M,CC BY 4.0
frei,3107,258,Leipzig deu_news_2024_1M,CC BY 4.0
freizeit,265,625,Leipzig deu_news_2024_1M,CC BY 4.0
fremd,338,598,Leipzig deu_news_2024_1M,CC BY 4.0
freund,2344,303,Leipzig deu_news_2024_1M,CC BY 4.0
frueher,3946,238,Leipzig deu_news_2024_1M,CC BY 4.0
frueher-adv,1711,348,Leipzig deu_news_2024_1M,CC BY 4.0
fruehstueck,206,655,Leipzig deu_news_2024_1M,CC BY 4.0
fruehstuecken,224,642,Leipzig deu_news_2024_1M,CC BY 4.0
fuehrung,1882,330,Leipzig deu_news_2024_1M,CC BY 4.0
fuer,118770,20,Leipzig deu_news_2024_1M,CC BY 4.0
fuss,1236,395,Leipzig deu_news_2024_1M,CC BY 4.0
fussball,1110,412,Leipzig deu_news_2024_1M,CC BY 4.0
gabel,30,758,Leipzig deu_news_2024_1M,CC BY 4.0
garten,1035,426,Leipzig deu_news_2024_1M,CC BY 4.0
gast,4041,231,Leipzig deu_news_2024_1M,CC BY 4.0
geben,40109,53,Leipzig deu_news_2024_1M,CC BY 4.0
geboren,1122,409,Leipzig deu_news_2024_1M,CC BY 4.0
geburtsjahr,12,778,Leipzig deu_news_2024_1M,CC BY 4.0
geburtsort,23,765,Leipzig deu_news_2024_1M,CC BY 4.0
geburtstag,984,439,Leipzig deu_news_2024_1M,CC BY 4.0
gefallen,1503,364,Leipzig deu_news_2024_1M,CC BY 4.0
gefallen-adj,992,434,Leipzig deu_news_2024_1M,CC BY 4.0
gegen,27504,81,Leipzig deu_news_2024_1M,CC BY 4.0
