id,lemma,pos,gender,note,gender_hint
haus,Haus,noun,n,,
tisch,Tisch,noun,m,,mein-
lampe,Lampe,noun,f,,eine-
buch,Buch,noun,n,,
stuhl,Stuhl,noun,m,,mein-
tuer,Tür,noun,f,,
fenster,Fenster,noun,n,,
schluessel,Schlüssel,noun,m,,
strasse,Straße,noun,f,,diese-
auto,Auto,noun,n,,
baum,Baum,noun,m,,
blume,Blume,noun,f,,eine-
wasser,Wasser,noun,n,,
loeffel,Löffel,noun,m,,mein-
gabel,Gabel,noun,f,,eine-
messer,Messer,noun,n,,
hund,Hund,noun,m,,mein-
katze,Katze,noun,f,,eine-
maedchen,Mädchen,noun,n,,-chen
junge,Junge,noun,m,,mein-
sein,sein,verb,,,
haben,haben,verb,,,
werden,werden,verb,,,
fahren,fahren,verb,,,
lesen,lesen,verb,,,
sprechen,sprechen,verb,,,
nehmen,nehmen,verb,,,
geben,geben,verb,,,
sehen,sehen,verb,,,
essen,essen,verb,,,
laufen,laufen,verb,,,
schlafen,schlafen,verb,,,
frei,frei,adj,,,
ab,ab,prep,,,
ab-adj,ab,adj,,,
in,in,prep,,,
in-adj,in,adj,,,
dies,dies,pron,,,
man,man,pron,,,
man-adv,man,adv,,,
hell,hell,adj,,,
uhr,Uhr,noun,f,,keine-
also,also,conj,,,
also-adv,also,adv,,,
um,um,prep,,,
um-conj,um,conj,,,
um-adj,um,adj,,,
um-adv,um,adv,,,
an,an,prep,,,
an-adv,an,adv,,,
an-adj,an,adj,,,
was,was,pron,,,
was-adv,was,adv,,,
nicht,nicht,adv,,,
bei,bei,prep,,,
so,so,adv,,,
so-conj,so,conj,,,
so-part,so,part,,,
so-pron,so,pron,,,
regnen,regnen,verb,,,
hier,hier,adv,,,
er,er,pron,,,
bitten,bitten,verb,,,
bitter,bitter,adj,,,
bitter-adv,bitter,adv,,,
ich,ich,pron,,,
apfel,Apfel,noun,m,,
wir,wir,pron,,,
langsam,langsam,adj,,,
langsam-adv,langsam,adv,,,
ledig,ledig,adj,,,
cd,CD,noun,f,,eine-
fisch,Fisch,noun,m,,
links,links,adv,,,
zigarette,Zigarette,noun,f,,eine-
es,es,pron,,,
es-part,es,part,,,
gut,gut,adj,,,
gut-adv,gut,adv,,,
der,der,part,,,
der-pron,der,pron,,,
schnell,schnell,adj,,,
schnell-adv,schnell,adv,,,
bar,bar,adj,,,
bar-adv,bar,adv,,,
bar-prep,bar,prep,,,
bald,bald,adv,,,
legen,legen,verb,,,
glauben,glauben,verb,,,
breit,breit,adj,,,
mit,mit,prep,,,
mit-adv,mit,adv,,,
ohne,ohne,conj,,,
ohne-prep,ohne,prep,,,
ohne-adv,ohne,adv,,,
kaputt,kaputt,adj,,,
da,da,adv,,,
da-conj,da,conj,,,
muede,müde,adj,,,
welt,Welt,noun,f,,eine-
sein-pron,sein,pron,,,
birne,Birne,noun,f,,eine-
unter,unter,prep,,,
zwischen,zwischen,prep,,,
stadt,Stadt,noun,f,,unsere-
sie,sie,pron,,,
