id,lexeme,translation,note,source,license
auslaender:1,auslaender,иностранец,,kaikki-ru,CC BY-SA 4.0
in:1,in,"в, на",,kaikki-ru,CC BY-SA 4.0
in:2,in,в; за; через,,kaikki-ru,CC BY-SA 4.0
man:1,man,"неопределённое местоимение, переводится неопределённо-личной формой мотивирующего глагола",,kaikki-ru,CC BY-SA 4.0
er:1,er,он,,kaikki-ru,CC BY-SA 4.0
es:1,es,(личное местоимение) оно,,kaikki-ru,CC BY-SA 4.0
es:2,es,"(указательное местоимение, сокр. 's, при переводе на русский часто опускается) это",,kaikki-ru,CC BY-SA 4.0
es:3,es,"(безличное местоимение, не переводится)",,kaikki-ru,CC BY-SA 4.0
so:1,so,"так, таким образом",,kaikki-ru,CC BY-SA 4.0
zusammen:1,zusammen,"вместе, сообща",,kaikki-ru,CC BY-SA 4.0
zusammen:2,zusammen,"в итоге; в целом, в совокупности",,kaikki-ru,CC BY-SA 4.0
zusammen:3,zusammen,лингв. слитно,,kaikki-ru,CC BY-SA 4.0
strassenbahn:1,strassenbahn,трамвай (транспортное средство),,kaikki-ru,CC BY-SA 4.0
milch:1,milch,молоко,,kaikki-ru,CC BY-SA 4.0
milch:2,milch,млечный сок (растений),,kaikki-ru,CC BY-SA 4.0
milch:3,milch,"техн. эмульсия, беловатая жидкость каких-либо веществ",,kaikki-ru,CC BY-SA 4.0
milch:4,milch,молоки (рыб),,kaikki-ru,CC BY-SA 4.0
lied:1,lied,песня; романс,,kaikki-ru,CC BY-SA 4.0
lied:2,lied,песнь,,kaikki-ru,CC BY-SA 4.0
apfel:1,apfel,яблоко,,kaikki-ru,CC BY-SA 4.0
apfel:2,apfel,разг. упрощ. от Apfelbaum (яблоня),,kaikki-ru,CC BY-SA 4.0
apfel:3,apfel,"эвф., мн. ч., Äpfelchen: женские груди, перси",,kaikki-ru,CC BY-SA 4.0
apfel:4,apfel,разг. упрощ. от Pferdeapfel (кусок лошадиного навоза),,kaikki-ru,CC BY-SA 4.0
auge:1,auge,анат. глаз; око,,kaikki-ru,CC BY-SA 4.0
auge:2,auge,"очко (при игре в карты, кости, домино и т. п.)",,kaikki-ru,CC BY-SA 4.0
auge:3,auge,точка (на игральной кости),,kaikki-ru,CC BY-SA 4.0
auge:4,auge,"метеорол. глаз бури, глаз урагана, глаз циклона, бычий глаз",,kaikki-ru,CC BY-SA 4.0
auge:5,auge,"ботан. глазок (картофельный), почка",,kaikki-ru,CC BY-SA 4.0
auge:6,auge,"архит. опейон, окулус (круглое отверстие в центре крыши или купола)",,kaikki-ru,CC BY-SA 4.0
auge:7,auge,зоол. глазчатое пятно,,kaikki-ru,CC BY-SA 4.0
auge:8,auge,"капля жира, жиринка (на поверхности жидкости, напр. в супе)",,kaikki-ru,CC BY-SA 4.0
ei:1,ei,яйцо,,kaikki-ru,CC BY-SA 4.0
geben:1,geben,"давать (дать), подавать (подать), вручать (вручить), предоставлять (предоставить) — Дайте мне пожалуйста сигарету",,kaikki-ru,CC BY-SA 4.0
geben:2,geben,"безличный: быть, существовать — Холодно.",,kaikki-ru,CC BY-SA 4.0
geben:3,geben,форма настоящего времени первого лица множественного числа изъявительного наклонения глагола geben,,kaikki-ru,CC BY-SA 4.0
geben:4,geben,форма настоящего времени третьего лица множественного числа изъявительного наклонения глагола geben,,kaikki-ru,CC BY-SA 4.0
freund:1,freund,"друг, приятель, товарищ",,kaikki-ru,CC BY-SA 4.0
freund:2,freund,"друг, молодой человек, любимый",,kaikki-ru,CC BY-SA 4.0
sonne:1,sonne,астрон. Солнце,,kaikki-ru,CC BY-SA 4.0
sonne:2,sonne,"солнце, солнечный свет",,kaikki-ru,CC BY-SA 4.0
baum:1,baum,ботан. дерево (растение); древесный ствол,,kaikki-ru,CC BY-SA 4.0
baum:2,baum,техн. вал; текст. навой,,kaikki-ru,CC BY-SA 4.0
baum:3,baum,морск. рей,,kaikki-ru,CC BY-SA 4.0
baum:4,baum,морск. мачта; стрела; рангоутное дерево; гик,,kaikki-ru,CC BY-SA 4.0
baum:5,baum,матем. дерево,,kaikki-ru,CC BY-SA 4.0
baum:6,baum,"разг., сокр. от Weihnachtsbaum; ёлка (2), новогодняя ёлка, рождественская ёлка",,kaikki-ru,CC BY-SA 4.0
baum:7,baum,"диал. оглобля, дышло",,kaikki-ru,CC BY-SA 4.0
maedchen:1,maedchen,девочка; девушка,,kaikki-ru,CC BY-SA 4.0
maedchen:2,maedchen,"девочка, дочь",,kaikki-ru,CC BY-SA 4.0
maedchen:3,maedchen,"устар. домработница; прислуга, служанка",,kaikki-ru,CC BY-SA 4.0
maedchen:4,maedchen,"разг. девушка, подруга, возлюбленная, любимая",,kaikki-ru,CC BY-SA 4.0
junge:1,junge,мальчик,,kaikki-ru,CC BY-SA 4.0
junge:2,junge,зоол. детёныш,,kaikki-ru,CC BY-SA 4.0
junge:3,junge,морск. юнга,,kaikki-ru,CC BY-SA 4.0
welt:1,welt,"неисч. мир, вселенная, свет (в значении «планета Земля»), земной шар",,kaikki-ru,CC BY-SA 4.0
welt:2,welt,"исч. мир (в значении «некое общество, сообщество либо отделённое от других пространство существования»)",,kaikki-ru,CC BY-SA 4.0
welt:3,welt,"филос., неисч. вселенная, космос",,kaikki-ru,CC BY-SA 4.0
welt:4,welt,мир (чего-либо); сфера; среда,,kaikki-ru,CC BY-SA 4.0
welt:5,welt,век,,kaikki-ru,CC BY-SA 4.0
buch:1,buch,книга (печатное издание),,kaikki-ru,CC BY-SA 4.0
buch:2,buch,книга (литературное произведение),,kaikki-ru,CC BY-SA 4.0
buch:3,buch,сценарий,,kaikki-ru,CC BY-SA 4.0
buch:4,buch,книга,,kaikki-ru,CC BY-SA 4.0
bleistift:1,bleistift,карандаш,,kaikki-ru,CC BY-SA 4.0
arbeitslos:1,arbeitslos,безработный,,kaikki-ru,CC BY-SA 4.0
wasser:1,wasser,"неисч. вода, влага, жидкость",,kaikki-ru,CC BY-SA 4.0
wasser:2,wasser,неисч. H₂O,,kaikki-ru,CC BY-SA 4.0
wasser:3,wasser,"исч. сок, напиток",,kaikki-ru,CC BY-SA 4.0
wasser:4,wasser,"поэт., библейск. водоём, река (мн. ч.: во́ды)",,kaikki-ru,CC BY-SA 4.0
wasser:5,wasser,"неисч., устар. мера качества алмаза; также перен. «чистейшей воды»",,kaikki-ru,CC BY-SA 4.0
wasser:6,wasser,"спец., крепкоалкогольный напиток, настойка",,kaikki-ru,CC BY-SA 4.0
wasser:7,wasser,"спец., : духи́",,kaikki-ru,CC BY-SA 4.0
adresse:1,adresse,адрес во всех значениях,,kaikki-ru,CC BY-SA 4.0
adresse:2,adresse,"в качестве приставки «adressen-», «adreß-»: адресный",,kaikki-ru,CC BY-SA 4.0
baby:1,baby,"младенец, грудной ребёнок, дитя",,kaikki-ru,CC BY-SA 4.0
baby:2,baby,"перен. милая/милый, милашка, деточка",,kaikki-ru,CC BY-SA 4.0
baby:3,baby,"разг. чикса, крутая девчонка",,kaikki-ru,CC BY-SA 4.0
baby:4,baby,перен. разг. трус,,kaikki-ru,CC BY-SA 4.0
bad:1,bad,ванная (комната); купальня,,kaikki-ru,CC BY-SA 4.0
bad:2,bad,ванна в значении «лечебная либо гигиеническая процедура»,,kaikki-ru,CC BY-SA 4.0
bad:3,bad,"целебный источник, во́ды",,kaikki-ru,CC BY-SA 4.0
bad:4,bad,"хим., техн.: особая жидкость, раствор либо электролит, в который опускаются детали для химической обработки",,kaikki-ru,CC BY-SA 4.0
bad:5,bad,"регион., разг.: сокр. от Hallenbad (бассейн), Badeanstalt (купальный пляж, бассейн, купальня, баня), Badestrand (купальный пляж)",,kaikki-ru,CC BY-SA 4.0
bad:6,bad,"как часть названия города означает, что в оном имеется официально признанный целебный источник: Bad Kreuznach, Bad Godesberg, Bad Salzuflen и т. п. Ср. тж. Karlsbad (Карловы Вары)",,kaikki-ru,CC BY-SA 4.0
chef:1,chef,"шеф, начальник",,kaikki-ru,CC BY-SA 4.0
film:1,film,"кинокартина, кинофильм, фильм",,kaikki-ru,CC BY-SA 4.0
film:2,film,"кино, кинематография, киноиндустрия",,kaikki-ru,CC BY-SA 4.0
film:3,film,"киноплёнка, фотоплёнка",,kaikki-ru,CC BY-SA 4.0
film:4,film,"пенка, плёнка",,kaikki-ru,CC BY-SA 4.0
geschenk:1,geschenk,"подарок, дар (für A, an A кому-либо), гостинец",,kaikki-ru,CC BY-SA 4.0
hand:1,hand,анат. рука; кисть руки,,kaikki-ru,CC BY-SA 4.0
hand:2,hand,"устар. то же, что Handschrift; почерк",,kaikki-ru,CC BY-SA 4.0
hand:3,hand,"спорт. то же, что Handspiel; игра рукой (в футболе)",,kaikki-ru,CC BY-SA 4.0
hand:4,hand,"игра в карты: карты которые держит игрок в руке, insbesondere beim Skat: ein Spiel ohne den Skat aufzunehmen",,kaikki-ru,CC BY-SA 4.0
meer:1,meer,море; океан,,kaikki-ru,CC BY-SA 4.0
meer:2,meer,большое озеро,,kaikki-ru,CC BY-SA 4.0
meer:3,meer,"перен. море, большое количество (чего-л.)",,kaikki-ru,CC BY-SA 4.0
mutter:1,mutter,мать; мама,,kaikki-ru,CC BY-SA 4.0
mutter:2,mutter,"перен. поэт. мать, прародительница, источник жизни",,kaikki-ru,CC BY-SA 4.0
mutter:3,mutter,мать (присоединяется к имени или званию монахини),,kaikki-ru,CC BY-SA 4.0
mutter:4,mutter,анат. матка,,kaikki-ru,CC BY-SA 4.0
mutter:5,mutter,техн. пресс-форма; матрица,,kaikki-ru,CC BY-SA 4.0
mutter:6,mutter,"рег. (ю.-нем.) осадок, гуща",,kaikki-ru,CC BY-SA 4.0
mutter:7,mutter,техн. гайка,,kaikki-ru,CC BY-SA 4.0
opa:1,opa,разг. дедушка,,kaikki-ru,CC BY-SA 4.0
papier:1,papier,бумага во всех значениях,,kaikki-ru,CC BY-SA 4.0
papier:2,papier,"бумажка, обёртка",,kaikki-ru,CC BY-SA 4.0
papier:3,papier,"документ, бумага, удостоверение",,kaikki-ru,CC BY-SA 4.0
post:1,post,почта; почтовое отделение; почтамт,,kaikki-ru,CC BY-SA 4.0
post:2,post,"почта, письма, корреспонденция",,kaikki-ru,CC BY-SA 4.0
post:3,post,"почта, почтовая машина, почтовый автомобиль",,kaikki-ru,CC BY-SA 4.0
