id	выведен	причина
de:alter:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:anrede:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:ansage:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:anschluss:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:apartment:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:appetit:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:auskunft:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:aussage:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:beispiel:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:bogen:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:cd:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:disco:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:doktor:_:genus	2026-08-26	вычеркнуто из набора de-a1: arzt
de:durchsage:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:empfaenger:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:ergebnis:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:fax:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:fuehrung:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:geschaeft:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:gruss:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:haehnchen:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:halbpension:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:halle:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:hausmann:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:heimat:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:lkw:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:loesung:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:lokal:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:mitte:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:partner:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:partnerin:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:prospekt:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:schluss:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:unterricht:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:vorwahl:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:wiederhoeren:_:genus	2026-08-26	вычеркнуто из набора de-a1: ненужное существительное это скорее оборот чем надо понимать род
de:wiedersehen:_:genus	2026-08-26	вычеркнуто из набора de-a1: ненужное существительное это скорее оборот чем надо понимать род
de:zigarette:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
de:zoll:_:genus	2026-08-26	вычеркнуто из набора de-a1: без пояснения
